date,region,total_consumption_kwh,avg_consumption_kwh,peak_meter_consumption_kwh,total_solar_kwh,total_ev_kwh,avg_temperature_c
2025-01-01,Berlin,1111.54,1.1615,2.9569,3.92,78.13,0.34
2025-01-01,Cologne,1059.45,1.1082,2.731,5.22,158.06,0.33
2025-01-01,Hamburg,1108.65,1.1585,2.6678,3.75,61.14,-0.18
2025-01-01,Leipzig,948.14,0.9907,2.3804,5.28,127.31,0.23
2025-01-01,Munich,833.69,0.8711,2.0788,4.95,147.13,0.45
2025-01-02,Berlin,1101.19,1.1531,2.8005,4.97,108.53,0.37
2025-01-02,Cologne,1070.14,1.1182,2.6682,5.79,222.56,0.01
2025-01-02,Hamburg,1095.04,1.143,2.6558,4.61,49.72,0.45
2025-01-02,Leipzig,944.73,0.9862,2.2844,5.33,75.17,0.14
2025-01-02,Munich,842.1,0.8809,2.273,5.42,122.37,-0.49
2025-01-03,Berlin,1116.05,1.165,2.8591,5.21,105.34,0.03
2025-01-03,Cologne,1067.27,1.1152,2.5982,5.44,171.28,-0.01
2025-01-03,Hamburg,1098.26,1.1488,2.6505,4.94,67.92,0.09
2025-01-03,Leipzig,951.13,0.9939,2.3687,5.56,126.02,-0.07
2025-01-03,Munich,833.22,0.8698,2.1593,5.41,188.78,0.33
2025-01-04,Berlin,955.4,0.9962,2.4212,5.49,102.05,-0.27
2025-01-04,Cologne,908.99,0.9479,2.2278,6.51,208.82,0.17
2025-01-04,Hamburg,928.61,0.9713,2.2623,4.67,81.91,0.34
2025-01-04,Leipzig,805.68,0.8393,2.0483,6.0,116.03,0.39
2025-01-04,Munich,705.5,0.7387,1.8292,5.33,176.37,0.33
2025-01-05,Berlin,945.91,0.9874,2.3535,4.81,129.79,0.59
2025-01-05,Cologne,906.26,0.946,2.2947,6.87,225.3,-0.02
2025-01-05,Hamburg,937.74,0.9768,2.2749,5.3,83.4,0.15
2025-01-05,Leipzig,804.98,0.8394,1.9533,6.06,117.93,-0.07
2025-01-05,Munich,712.63,0.7423,1.795,5.62,141.69,-0.21
2025-01-06,Berlin,1128.87,1.1784,2.9029,4.92,98.86,-0.37
2025-01-06,Cologne,1051.8,1.0991,2.4808,6.67,197.13,0.59
2025-01-06,Hamburg,1103.51,1.1519,2.7068,5.56,65.71,0.01
2025-01-06,Leipzig,939.58,0.9828,2.3263,6.16,114.1,0.34
2025-01-06,Munich,830.89,0.8664,2.141,7.2,184.15,0.0
2025-01-07,Berlin,1115.6,1.1657,2.8939,5.68,100.51,0.11
2025-01-07,Cologne,1058.75,1.1075,2.6693,7.27,128.62,0.22
2025-01-07,Hamburg,1097.72,1.1458,2.7019,5.48,73.35,0.49
2025-01-07,Leipzig,939.46,0.9827,2.345,6.9,108.74,0.43
2025-01-07,Munich,831.13,0.8685,2.1218,6.47,134.22,0.49
2025-01-08,Berlin,1118.92,1.1655,2.7837,6.57,142.78,0.19
2025-01-08,Cologne,1066.32,1.1166,2.5807,7.69,232.1,-0.16
2025-01-08,Hamburg,1092.88,1.1456,2.6345,6.19,47.74,0.23
2025-01-08,Leipzig,956.2,0.9981,2.3928,7.31,136.33,-0.51
2025-01-08,Munich,835.12,0.8708,2.3884,7.57,156.8,0.33
2025-01-09,Berlin,1110.91,1.1608,2.7543,6.26,120.38,-0.34
2025-01-09,Cologne,1068.43,1.1211,2.6879,8.33,178.37,-0.48
2025-01-09,Hamburg,1108.39,1.1582,2.7097,6.26,102.95,-0.32
2025-01-09,Leipzig,952.85,0.9936,2.3507,6.91,144.32,-0.1
2025-01-09,Munich,841.36,0.881,2.0661,6.94,143.31,-0.3
2025-01-10,Berlin,1132.07,1.1792,2.9327,7.05,92.45,-0.55
